ts,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
1787959800000,77535.385,77662.2501838,-161.863398466,-262.911940933,101.048542467,87.7087633702,92.47634317,78.1736037706,46.0089383956,86.2439787931,77535.385,77788.2183386,77282.5516614,77535.385,77651.6706168,-126.956340171,-211.218276595,168.523872848,84.440959765,78.0627633317,97.1973526317,45.4298582763,86.2439787931,77535.385,77788.2183386,77282.5516614
1787960700000,77549.355,77676.6073091,-133.231003147,-236.975753376,103.744750229,88.2343798903,89.3006024517,86.1019347676,51.8220464416,117.219015048,77549.355,77829.635991,77269.074009,77549.355,77667.0353199,-100.902722753,-189.155165827,176.504886148,89.2021505275,81.7758923969,104.054666788,51.4510297737,117.219015048,77549.355,77829.635991,77269.074009
1787961600000,77556.525,77686.7304225,-111.681052363,-211.916813173,100.235760811,89.0042714208,88.3158048938,90.3812044748,50.6289338457,131.2233106,77556.525,77852.5574771,77260.4925229,77556.525,77678.0700514,-81.7415954558,-167.672451752,171.861712593,87.5476810045,83.6998219328,95.2433991479,50.2377738444,131.2233106,77556.525,77852.5574771,77260.4925229
1787962500000,77566.275,77703.7180013,-86.9672042852,-186.926891396,99.9596871105,91.0626230012,89.4337581041,94.3203527953,53.7598815566,142.611677811,77566.275,77888.3290754,77244.2209246,77566.275,77695.8824274,-59.240523124,-145.986066027,173.491085805,88.4399856672,85.2798765109,94.7602039798,53.4649907846,142.611677811,77566.275,77888.3290754,77244.2209246
1787963400000,77578.395,77707.7067631,-76.1461870818,-164.770750533,88.6245634512,76.3553925205,85.4740956475,58.1179862664,48.9044029886,94.1185871306,77578.395,77908.1934989,77248.5965011,77578.395,77700.6174343,-50.469135706,-126.882679963,152.827088513,77.1609373149,82.5735634456,66.3356850535,48.5368745942,94.1185871306,77578.395,77908.1934989,77248.5965011
1787964300000,77585.65,77706.4965952,-70.836886571,-145.983977741,75.1470911696,57.2874714514,74.901828991,22.0587563721,46.9699373746,60.9503168541,77585.65,77918.9868596,77252.3131404,77585.65,77700.0824406,-47.0582864673,-110.917801264,127.719029593,60.4522844603,75.1998037838,30.9572458133,46.5790691039,60.9503168541,77585.65,77918.9868596,77252.3131404
1787965200000,77589,77696.1445385,-73.6237663809,-131.511935469,57.8881690878,30.4614327449,54.7014322389,-18.0185662431,43.4171078092,17.0596113859,77589,77921.4099758,77256.5900242,77589,77690.3412558,-51.6035380727,-99.0549486254,94.9028211054,43.5503492646,64.6499856108,1.35107657237,42.9916487587,17.0596113859,77589,77921.4099758,77256.5900242
1787966100000,77602.83,77702.0926777,-62.1408515153,-117.637718678,55.4968671627,30.6079037152,39.4522693038,12.919172538,50.1366585004,49.3957011452,77602.83,77939.2736779,77266.3863221,77602.83,77696.8420886,-41.7492077,-87.5938004403,91.6891854806,47.3809840168,58.8936517461,24.3556485582,49.8701292484,49.3957011452,77602.83,77939.2736779,77266.3863221
1787967000000,77623.515,77710.3505179,-50.0269911333,-104.115573169,54.0885820358,42.779342723,34.6162263944,59.1055753803,51.3062491915,70.3766808973,77623.515,77952.1905986,77294.8394014,77623.515,77705.5999849,-31.1436872348,-76.3037777992,90.3201811288,52.7704212694,56.8525749205,44.6061139672,51.0643509628,70.3766808973,77623.515,77952.1905986,77294.8394014
1787967900000,77642.275,77715.1266591,-42.223516576,-91.7371618504,49.5136452744,58.0563380282,43.8145281555,86.5399577736,50.1198616861,64.7866801713,77642.275,77956.9551543,77327.5948457,77642.275,77710.8285578,-24.7371548221,-65.9904532038,82.5065967634,53.7061024425,55.8037507612,49.5108058052,49.8655335971,64.7866801713,77642.275,77956.9551543,77327.5948457
1787968800000,77658.26,77713.8574534,-40.31112464,-81.4519544083,41.1408297684,52.7230046948,51.186228482,55.7965571205,47.6581896712,45.999100462,77658.26,77950.1023506,77366.4176494,77658.26,77709.9686951,-24.118508005,-57.616064164,66.9951123181,48.8181528021,53.4752181082,39.5040221899,47.3808319913,45.999100462,77658.26,77950.1023506,77366.4176494
1787969700000,77668.93,77702.8710293,-46.5938816743,-74.4803398615,27.8864581873,36.6959082186,49.1584169805,11.7708906947,43.5998172571,-27.5681638986,77668.93,77934.4625524,77403.3974476,77668.93,77699.3526289,-31.5994142537,-52.412734182,41.6266398565,37.7014373167,48.2172911777,16.6697295947,43.2926102348,-27.5681638986,77668.93,77934.4625524,77403.3974476
1787970600000,77675.365,77691.5214075,-52.1659120382,-70.0174542969,17.8515422587,22.6507592359,37.3565573831,-6.76083705855,43.0343908427,-50.8899226959,77675.365,77925.6478822,77425.0821178,77675.365,77688.3380928,-38.2810426337,-49.5863958723,22.6107064773,29.614964158,42.0165155044,4.81186146511,42.7238254479,-50.8899226959,77675.365,77925.6478822,77425.0821178
1787971500000,77689.785,77686.1479401,-51.8366946647,-66.3813023704,14.5446077057,21.4827135928,26.9431270158,10.5618867469,45.6696308021,-41.0705579746,77689.785,77891.1053743,77488.4646257,77689.785,77683.2677983,-38.9794005652,-47.4649968109,16.9711924914,31.5893483026,38.5407931038,17.6864587002,45.406460174,-41.0705579746,77689.785,77891.1053743,77488.4646257
1787972400000,77700.845,77682.7814696,-49.7356076096,-63.0521634183,13.3165558087,30.1284055483,24.753959459,40.8772977269,46.4839832741,-35.7431680012,77700.845,77864.5682968,77537.1217032,77700.845,77680.175627,-37.8299157472,-45.5379805981,15.4161297018,34.8612596058,37.3142819378,29.9552149419,46.2348027766,-35.7431680012,77700.845,77864.5682968,77537.1217032
1787973300000,77706.33,77680.2308535,-47.107854417,-59.863301618,12.755447201,40.0971599402,30.5694263604,59.1526270998,46.7685775814,-66.0348094451,77706.33,77855.6965304,77556.9634696,77706.33,77677.8731863,-36.0833972631,-43.6470639311,15.127333336,37.6902667427,37.4396102061,38.1915798159,46.5242132879,-66.0348094451,77706.33,77855.6965304,77556.9634696
1787974200000,77700.13,77671.4564865,-49.9287559964,-57.8763924937,7.94763649732,34.2426507225,34.822738737,33.0824746934,43.5145025329,-108.815011095,77700.13,77858.071788,77542.188212,77700.13,77669.3233591,-39.7203597355,-42.861723092,6.28272671296,31.1183741414,35.3325315179,22.6900593884,43.250397249,-108.815011095,77700.13,77858.071788,77542.188212
1787975100000,77687.475,77652.7463449,-60.5920976213,-58.4195335192,-2.17256410209,20.9346375364,31.7581493997,-0.712386190198,38.686076294,-175.479039718,77687.475,77872.6377703,77502.3122297,77687.475,77650.8163725,-51.1394003081,-44.5172585352,-13.2442835457,21.2392636456,30.6347755605,2.44823981588,38.4029079472,-175.479039718,77687.475,77872.6377703,77502.3122297
1787976000000,77678.495,77643.446693,-61.8663157306,-59.1088899615,-2.75742576911,15.3056914596,23.4943265728,-1.07157876683,43.4702124001,-131.98415132,77678.495,77870.9041419,77486.0858581,77678.495,77641.7005275,-53.1134132888,-46.236489486,-13.7538476057,22.9799900258,28.0831803822,12.7736093128,43.2537642639,-131.98415132,77678.495,77870.9041419,77486.0858581
1787976900000,77674.63,77637.0517699,-60.4684374318,-59.3807994555,-1.0876379763,24.03511459,20.0918145287,31.9217147126,44.7000760891,-87.2585799639,77674.63,77871.9275834,77477.3324166,77674.63,77635.4719058,-52.3635555012,-47.461902689,-9.80330562433,30.0409461271,28.7357689639,32.6513004537,44.4995482594,-87.2585799639,77674.63,77871.9275834,77477.3324166
1787977800000,77670.44,77631.7230299,-58.3012286516,-59.1648852947,0.86365664319,39.9206169576,26.4204743357,66.9209022013,44.9918835956,-74.8542233163,77670.44,77871.9015338,77468.9784662,77670.44,77630.2936291,-50.7964184254,-48.1288058363,-5.33522517817,36.4064806703,31.292672866,46.634096279,44.7950592903,-74.8542233163,77670.44,77871.9015338,77468.9784662
1787978700000,77660.57,77630.1875032,-53.1867348362,-57.969255203,4.78252036684,52.5655643054,38.840431951,80.0158290143,47.1504994109,-41.8881591575,77660.57,77852.2308891,77468.9091109,77660.57,77628.8942358,-46.2375911617,-47.7505629013,3.02594347933,45.7364153901,36.1072537074,64.9947387556,46.9801922539,-41.8881591575,77660.57,77852.2308891,77468.9091109
1787979600000,77654.83,77633.7982172,-44.3855019628,-55.252504555,10.8670025922,67.0499778859,53.1787197163,94.7924942251,50.3438494158,-11.815707104,77654.83,77838.1889932,77471.4710068,77654.83,77632.6281181,-37.9509020957,-45.7906307402,15.679457289,59.6963099505,43.9702724551,91.1483849413,50.2099320267,-11.815707104,77654.83,77838.1889932,77471.4710068
1787980500000,77642.85,77633.0079108,-40.3824220538,-52.2784880548,11.8960660009,75.4714325922,65.0289915945,96.3563145875,47.8189689581,-15.562617127,77642.85,77798.9774928,77486.7225072,77642.85,77631.9492497,-34.4242835729,-43.5173613067,18.1861554678,64.5981779255,50.8462409452,92.1020518861,47.6722898986,-15.562617127,77642.85,77798.9774928,77486.7225072
1787981400000,77638.21,77634.8928717,-34.6081295662,-48.744416357,14.1362867909,82.5194967505,75.0136357428,97.5312187657,49.5646588427,6.37214064497,77638.21,77787.1998104,77489.2201896,77638.21,77633.9350355,-29.091186057,-40.6321262568,23.0818803997,71.5789443852,57.7571420919,99.2225489719,49.4359713292,6.37214064497,77638.21,77787.1998104,77489.2201896
1787982300000,77633.46,77631.569741,-33.9016824084,-45.7758695673,11.8741871589,73.5917781863,77.194235843,66.3868628729,46.3359528731,-32.2605583523,77633.46,77780.954724,77485.965276,77633.46,77630.7031273,-28.7932756265,-38.2643561307,18.9421610085,67.9969440497,61.1704094112,81.6500133267,46.1931574735,-32.2605583523,77633.46,77780.954724,77485.965276
1787983200000,77626.115,77614.363099,-44.8558713029,-45.5918699144,0.735998611511,50.3992078211,68.8368275859,13.5239682914,38.6745242524,-158.579929893,77626.115,77793.2981364,77458.9318636,77626.115,77613.57902,-40.1257586154,-38.6366366277,-2.97824397549,46.9393636265,56.4267274829,27.9646359135,38.5108681138,-158.579929893,77626.115,77793.2981364,77458.9318636
1787984100000,77607.375,77592.4047086,-58.2797415616,-48.1294442439,-10.1502973177,25.2620014715,49.7509958263,-23.715987238,35.8052752579,-227.384878198,77607.375,77793.86443,77420.88557,77607.375,77591.6953038,-53.8999175541,-41.689292813,-24.4212494824,34.6691951696,49.1742167118,5.6591520852,35.6383660056,-227.384878198,77607.375,77793.86443,77420.88557
1787985000000,77588.71,77575.5566412,-65.604087302,-51.6243728555,-13.9797144465,11.5271565954,29.0627886293,-23.5441074724,38.140201595,-179.236336497,77588.71,77773.5477007,77403.8722993,77588.71,77574.9147987,-61.5486185169,-45.6611579537,-31.7749211263,29.6555996965,42.6680110401,3.63077700949,37.9915158736,-179.236336497,77588.71,77773.5477007,77403.8722993
